PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,[],GoodRowThemesFormatted
05l1n,r1b2r2/3kq3/p1nbp3/1p1pp3/3P2Q1/P1NB1R2/1PP2PPP/4R1K1 b - - 2 22,e5e4 c3d5 e4f3 d5e7,1843,76,88,1435,advantage middlegame pin short Knight,https://lichess.org/DWZye3YP/black#Some(43),,"['advantage', 'middlegame', 'pin', 'Knight']",4,"['advantage', 'middlegame', 'pin', 'Knight']"
055tr,2r3k1/1b3pPp/7B/8/Bp1b4/6PP/7K/5R2 b - - 1 37,c8a8 a4b3 d4g7 h6g7 b7d5 b3d5,2011,74,95,1556,crushing endgame long Bishop,https://lichess.org/PePfYcJ5/black#Some(73),,"['crushing', 'endgame', 'Bishop']",3,"['crushing', 'endgame', 'Bishop']"
06CpY,8/R5pk/4bp1p/P6N/8/7P/r5PK/8 b - - 1 42,e6d5 h5f6 h7g6 f6d5,1822,78,96,14872,crushing endgame pin short Knight,https://lichess.org/swjdreC7/black#Some(83),,"['crushing', 'endgame', 'pin', 'Knight']",4,"['crushing', 'endgame', 'pin', 'Knight']"
0gXP7,r2qk2r/3n1pp1/1p1bp2p/1Q6/1p1P4/4PN2/P4PPP/RNB1K2R w KQkq - 1 16,b5c6 a8c8 c6d6 c8c1 e1e2 c1h1,1664,76,96,18031,advantage long opening skewer Rook,https://lichess.org/wYiSG2SX#Some(30),Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['advantage', 'opening', 'skewer', 'Rook']",4,"['advantage', 'opening', 'skewer', 'Rook']"
0sSoK,r2qk1nr/1pp3p1/p3p1bp/3pP3/3P2QP/2P1P1B1/PP6/R3KB1R b KQkq - 0 17,g6f5 g4g7 h8h7 g7g8 e8d7 g8d8,1796,74,95,11655,crushing exposedKing long middlegame Queen,https://lichess.org/d1YMz8pG/black#Some(33),Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,"['crushing', 'exposedKing', 'middlegame', 'Queen']",4,"['crushing', 'exposedKing', 'middlegame', 'Queen']"
05Wpi,r4rk1/1p3ppp/2nq1b1B/p1p1pPN1/P1P4P/3P4/1P3P2/R2QK1R1 b Q - 2 20,g8h8 d1h5 g7h6 h5h6 f6g5 h6d6,2274,93,89,1354,advantage long middlegame sacrifice Queen,https://lichess.org/8Wl671uy/black#Some(39),,"['advantage', 'middlegame', 'sacrifice', 'Queen']",4,"['advantage', 'middlegame', 'sacrifice', 'Queen']"
2Bizd,1k3q2/p1p4Q/Bp2P2p/3p4/P2Pn3/2P5/6PP/6K1 w - - 1 26,e6e7 f8f2 g1h1 f2e1 a6f1 e1f1,1614,74,97,12073,endgame long mate mateIn3 Queen,https://lichess.org/GO3cou61#Some(50),,"['endgame', 'mateIn3', 'Queen']",3,"['endgame', 'mateIn3', 'Queen']"
02CuI,r1bqr3/ppp3pp/6k1/3p4/3Q4/2P3K1/PP4PP/RNB4R w - - 0 15,h1f1 e8e4 c1f4 e4d4,2078,75,91,1139,advantage middlegame short Rook,https://lichess.org/LFkpJU3o#Some(28),Danish_Gambit Danish_Gambit_Other_variations,"['advantage', 'middlegame', 'Rook']",3,"['advantage', 'middlegame', 'Rook']"
1NNZG,6b1/1p6/7P/6P1/p2k4/3p1p2/3K1P2/8 b - - 0 58,a4a3 g5g6 a3a2 h6h7 d4e4 h7h8q,1820,74,95,13910,advancedPawn advantage bishopEndgame endgame long promotion Pawn,https://lichess.org/l4f44ByS/black#Some(115),,"['advancedPawn', 'advantage', 'endgame', 'promotion', 'Pawn']",5,"['advancedPawn', 'advantage', 'endgame', 'promotion', 'Pawn']"
30SYX,5k2/p4ppp/3p4/5N2/q3r3/3bB1Q1/P1P2PPP/1rK4R w - - 2 22,c1b1 a4c2 b1a1 c2c3,1674,74,95,1538,mate mateIn2 middlegame queensideAttack short Queen,https://lichess.org/uKwy7ieQ#Some(42),,"['mateIn2', 'middlegame', 'queensideAttack', 'Queen']",4,"['mateIn2', 'middlegame', 'queensideAttack', 'Queen']"
