PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
mZcC6,2r1k3/5pp1/ppbR4/3B2n1/8/P7/1P3PPP/6K1 w - - 0 26,d5c6 e8e7 d6d7 e7e6 c6a4 b6b5,1803,75,92,1860,advantage defensiveMove endgame long King Pawn,https://lichess.org/enpGmkTR#Some(50),,"['advantage', 'defensiveMove', 'endgame', 'King', 'Pawn']",5
F1Vh5,r2qkbr1/1pp2p2/p4n1p/4p3/3nP1b1/P1N2NP1/1PP1BP2/R1BQ1RK1 w q - 1 14,f3e5 d4e2 c3e2 d8d1 f1d1 g4e2,1809,75,92,1329,advantage capturingDefender discoveredAttack intermezzo kingsideAttack long opening Knight Queen Bishop,https://lichess.org/KTwJPqtF#Some(26),Bishops_Opening Bishops_Opening_Berlin_Defense,"['advantage', 'capturingDefender', 'discoveredAttack', 'intermezzo', 'kingsideAttack', 'opening', 'Knight', 'Queen', 'Bishop']",9
Wsnr5,8/PR2P3/8/2p2p2/7p/2P1PPp1/r7/5kBK w - - 1 44,e7e8q a2h2 g1h2 g3g2,1779,75,96,3881,advancedPawn endgame mate mateIn2 sacrifice short Rook Pawn,https://lichess.org/SCX4xTmw#Some(86),,"['advancedPawn', 'endgame', 'mateIn2', 'sacrifice', 'Rook', 'Pawn']",6
lhzJl,4k2r/np2bpp1/1q2p1n1/pP1pP1B1/P1rP2P1/2NQ1NK1/5P2/R4R2 w k - 1 21,g5e7 h8h3 g3h3 g6f4 h3g3 f4d3,1783,75,96,4814,advantage attraction fork long middlegame sacrifice Rook Knight,https://lichess.org/NVseCQZ2#Some(40),,"['advantage', 'attraction', 'fork', 'middlegame', 'sacrifice', 'Rook', 'Knight']",7
44uqo,r2q1rk1/pp1n1pp1/2pb3p/8/3Pn3/2BQ1N2/PP3PPP/R3R1K1 w - - 0 15,e1e4 d7c5 d4c5 d6h2 g1h2 d8d3,1745,76,92,1523,advantage discoveredAttack long middlegame sacrifice Knight Bishop Queen,https://lichess.org/JqoRs8wt#Some(28),Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['advantage', 'discoveredAttack', 'middlegame', 'sacrifice', 'Knight', 'Bishop', 'Queen']",7
ZphMo,4R1k1/6p1/p6p/1pq5/2p2N2/2P5/2B2bPP/7K b - - 0 33,g8f7 c2g6 f7f6 e8e6 f6g5 f4h3 g5h4 e6e4,1854,76,96,11074,endgame mate mateIn4 veryLong Bishop Rook Knight,https://lichess.org/In4mcsqA/black#Some(65),,"['endgame', 'mateIn4', 'Bishop', 'Rook', 'Knight']",5
Aq1aG,3R4/2B2pk1/6p1/P2B1b1p/3b1P1P/4r3/3K4/8 w - - 3 39,d5f7 e3d3 d2e2 g7f7,1767,73,94,9879,advantage endgame intermezzo short Rook King,https://lichess.org/7wkh8teC#Some(76),,"['advantage', 'endgame', 'intermezzo', 'Rook', 'King']",5
HoNJO,8/pp5R/1b3p2/4kp2/1P2r3/2K3P1/5p2/3R4 b - - 9 36,f5f4 h7e7 e5f5 g3g4 f5g4 e7e4,1874,74,96,8142,advantage deflection endgame long Rook Pawn,https://lichess.org/94oi5V5g/black#Some(71),,"['advantage', 'deflection', 'endgame', 'Rook', 'Pawn']",5
cHzc5,r3r1k1/pp1n2pp/2p5/3p4/3K1P2/2N3P1/PPP4P/R3R3 w - - 0 21,e1e3 c6c5 d4d3 e8e3 d3e3 d5d4 e3d2 d4c3,1810,73,95,8182,advantage attraction endgame fork veryLong Pawn Rook,https://lichess.org/0WOIaewC#Some(40),,"['advantage', 'attraction', 'endgame', 'fork', 'Pawn', 'Rook']",6
5U8qT,8/8/1KP1k3/1P6/2N2p2/8/8/3r4 b - - 0 73,f4f3 c6c7 e6d7 b6b7,1741,77,93,1254,advancedPawn crushing defensiveMove endgame short Pawn King,https://lichess.org/MxWhjNEX/black#Some(145),,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'Pawn', 'King']",6
