PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
g36NY,2kr4/p1pn1nb1/1p1p4/3Ppq2/Q2P2p1/3B1pP1/PPP2r2/1K1RR1N1 b - - 3 26,e5e4 d3a6 c8b8 a4c6 d7c5 d4c5,1930,75,90,1014,advantage long middlegame queensideAttack Bishop Queen Pawn,https://lichess.org/gFmbZmzQ/black#Some(51),,"['advantage', 'middlegame', 'queensideAttack', 'Bishop', 'Queen', 'Pawn']",6
iB029,rn1qk1nr/p2bppbp/3p2p1/2p5/4P3/2N1BN1P/PPP1BPP1/R2QK2R w KQkq - 0 9,e2b5 g7c3 b2c3 d7b5,1917,79,95,13748,advantage opening short Bishop,https://lichess.org/FrnMBJ7Q#Some(16),Modern_Defense Modern_Defense_Two_Knights_Variation,"['advantage', 'opening', 'Bishop']",3
QpOg1,r4rk1/1Qp4p/1p4p1/5p2/p1P5/PqnPP3/1B4PP/1R2R1K1 b - - 0 26,c3b1 b7d5 f8f7 d5a8 f7f8 a8d5,1872,76,91,2007,crushing deflection kingsideAttack long middlegame Queen,https://lichess.org/XfIhVbz7/black#Some(51),,"['crushing', 'deflection', 'kingsideAttack', 'middlegame', 'Queen']",5
uFgKw,1k1r3r/1pp2ppp/3b4/1R6/3R4/1Q3P2/1PP3Pq/1K6 b - - 1 27,b7b6 b5b6 c7b6 b3b6 b8c8 b6c6,1990,75,89,1320,advantage long middlegame queensideAttack sacrifice Rook Queen,https://lichess.org/rsF5GEDU/black#Some(53),,"['advantage', 'middlegame', 'queensideAttack', 'sacrifice', 'Rook', 'Queen']",6
0RRr7,4rrk1/bb1q1p2/p4pNp/7Q/2Bn4/3P4/PPP2PPP/R4RK1 w - - 0 19,h5h6 d4e2 g1h1 b7g2 h1g2 d7g4 g2h1 g4f3,1908,76,95,11961,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong Knight Bishop Queen,https://lichess.org/CaKqBJS3#Some(36),Scandinavian_Defense Scandinavian_Defense_Kloosterboer_Gambit,"['attraction', 'kingsideAttack', 'mateIn4', 'middlegame', 'sacrifice', 'Knight', 'Bishop', 'Queen']",8
FY60V,8/6p1/2PR4/p5r1/3p4/1P1k4/P4P1P/3K4 w - - 5 43,d1c1 d3c3 c1d1 d4d3 d6e6 g5g1 e6e1 g1e1 d1e1 c3c2 e1f1 d3d2,1935,76,95,8776,advancedPawn crushing endgame exposedKing rookEndgame veryLong King Pawn Rook,https://lichess.org/PiZh5E0y#Some(84),,"['advancedPawn', 'crushing', 'endgame', 'exposedKing', 'King', 'Pawn', 'Rook']",7
v2HWx,r6r/1pp1k1pp/1bn2n2/pQ1ppqN1/PP6/2PP4/3N1PPP/R1B2RK1 w - - 1 15,d2f3 c6a7 b5b6 c7b6,1960,75,96,2603,crushing middlegame short trappedPiece Knight Pawn,https://lichess.org/h6A1Jmoc#Some(28),Italian_Game Italian_Game_Giuoco_Piano,"['crushing', 'middlegame', 'trappedPiece', 'Knight', 'Pawn']",5
zUpmi,6k1/3R4/1p1p3p/1Pp4r/4P3/2P5/r6P/1R5K w - - 3 34,d7d6 a2h2 h1g1 h2h1 g1g2 h1b1,1948,73,95,11816,crushing endgame long rookEndgame skewer Rook,https://lichess.org/bvYJVlLG#Some(66),,"['crushing', 'endgame', 'skewer', 'Rook']",4
ZCeWa,5r2/5p1p/p3bk2/2p5/1b6/4KQP1/P3N2q/R1B5 b - - 6 28,f6g7 c1b2 f7f6 a1h1 h2h1 f3h1,1933,75,94,3290,clearance crushing long middlegame trappedPiece Bishop Rook Queen,https://lichess.org/yAB7gask/black#Some(55),,"['clearance', 'crushing', 'middlegame', 'trappedPiece', 'Bishop', 'Rook', 'Queen']",7
nJy9V,2q2rk1/1p3p2/p4Pp1/4p3/8/1P5R/3Q2PK/8 b - - 7 42,c8f5 h3h8 g8h8 d2h6 h8g8 h6g7,1892,77,95,10405,attraction endgame fork long mate mateIn3 sacrifice Rook Queen,https://lichess.org/g65lbYwg/black#Some(83),,"['attraction', 'endgame', 'fork', 'mateIn3', 'sacrifice', 'Rook', 'Queen']",7
