PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
JdHPQ,6k1/1q2pp1p/2np2p1/2p2P2/Q1P1P3/4B1PP/1b6/3B2K1 b - - 0 27,c6d4 a4e8 g8g7 e3h6 g7h6 e8f8 h6g5 h3h4 g5f6 f8h8,1965,76,95,12280,attraction endgame mate mateIn5 sacrifice veryLong Queen Bishop Pawn,https://lichess.org/xA0vPO8I/black#Some(53),,"['attraction', 'endgame', 'mateIn5', 'sacrifice', 'Queen', 'Bishop', 'Pawn']",7
b07uB,r2qk2r/ppp1bp2/2n1pn1p/3p4/3P2QN/P3P1P1/1PP2PBP/R1B1R1K1 w kq - 1 13,g4g7 h8h7 g7h7 f6h7,1883,75,92,2017,advantage opening short trappedPiece Rook Knight,https://lichess.org/Tcj6GvSE#Some(24),Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,"['advantage', 'opening', 'trappedPiece', 'Rook', 'Knight']",5
eLJDu,rnbq3k/pp4p1/3p1rBB/2b2p1Q/7P/8/PPP3P1/RN2K2R b KQ - 0 15,d8e7 h6e3 h8g8 h5h7 g8f8 h7h8,1902,74,95,4274,discoveredAttack kingsideAttack long mate mateIn3 middlegame Bishop Queen,https://lichess.org/1IQtZFJv/black#Some(29),French_Defense French_Defense_Franco-Sicilian_Defense,"['discoveredAttack', 'kingsideAttack', 'mateIn3', 'middlegame', 'Bishop', 'Queen']",6
GwxRm,5rk1/R4Qpp/1p3n2/8/3P4/4P1P1/4BPKP/4q3 b - - 0 32,f8f7 a7a8 f6e8 a8e8 f7f8 e2c4 g8h8 e8f8,1969,81,90,136302,backRankMate deflection endgame mate mateIn4 veryLong Rook Bishop,https://lichess.org/uZg5T0zF/black#Some(63),,"['deflection', 'endgame', 'mateIn4', 'Rook', 'Bishop']",5
wE8zz,4r1k1/6pp/p1p1rp1q/1p1p1Qn1/3PP3/P1P2PN1/1P4P1/4RRK1 w - - 1 26,f1f2 g7g6 f5g4 f6f5 g3f5 g6f5,1890,75,89,1120,advantage long middlegame Pawn,https://lichess.org/yI9PV5o9#Some(50),,"['advantage', 'middlegame', 'Pawn']",3
iJWYW,4r1k1/pprb1ppp/3p4/3P1q2/2P1R2Q/5N2/P4PPP/4R1K1 b - - 0 21,e8e4 h4d8 d7e8 d8e8 e4e8 e1e8,1927,76,94,13418,backRankMate fork long mate mateIn3 middlegame xRayAttack Queen Rook,https://lichess.org/mLHKWpnz/black#Some(41),,"['fork', 'mateIn3', 'middlegame', 'xRayAttack', 'Queen', 'Rook']",6
7MmvP,2r4k/pp4bp/2p4r/2P2Npq/4p3/2N1Pn1P/PBQ2PP1/3R1RK1 w - - 1 24,g1h1 h5h3 g2h3 h6h3 h1g2 h3h2 g2g3 g7e5 g3g4 h7h5,1982,74,94,10679,kingsideAttack mate mateIn5 middlegame sacrifice veryLong Queen Rook Bishop Pawn,https://lichess.org/bL1Lcboe#Some(46),,"['kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Queen', 'Rook', 'Bishop', 'Pawn']",8
4uOB4,rn2k2r/pp3ppp/2p1pn2/8/8/2qBBQ1P/P1P2PP1/3RR1K1 b kq - 1 14,e8g8 e3d4 c3d4 d3h7 g8h7 d1d4,1937,75,95,1417,crushing discoveredAttack kingsideAttack long middlegame sacrifice Bishop Rook,https://lichess.org/axuFKGso/black#Some(27),Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,"['crushing', 'discoveredAttack', 'kingsideAttack', 'middlegame', 'sacrifice', 'Bishop', 'Rook']",7
UfkuZ,3r1rk1/1b2ppb1/p2q2p1/1p1nN3/2p1BP1p/2P2Q2/PP4PP/R1B1R2K b - - 2 20,d5f4 c1f4 g7e5 f4e5 d6e5 e4b7,1947,74,91,2363,advantage hangingPiece long middlegame Bishop,https://lichess.org/N0E1ihLX/black#Some(39),,"['advantage', 'hangingPiece', 'middlegame', 'Bishop']",4
HZc6u,3rr1k1/5ppp/2N2q2/8/1Q6/6P1/PP3P1P/2R3K1 b - - 6 30,d8c8 c6e7 f6e7 c1c8,1887,76,93,2431,crushing discoveredAttack endgame fork short Knight Rook,https://lichess.org/NeVYuqI1/black#Some(59),,"['crushing', 'discoveredAttack', 'endgame', 'fork', 'Knight', 'Rook']",6
ETqOT,r4rk1/ppp2ppp/2N5/1Bbp4/4p1b1/2P3Pq/PP1P1P1P/RNBQR1K1 w - - 1 12,b5e2 c5f2 g1f2 h3h2,1883,76,88,1968,attraction crushing deflection kingsideAttack middlegame short Bishop Queen,https://lichess.org/RRUsi6jX#Some(22),Ruy_Lopez Ruy_Lopez_Berlin_Defense,"['attraction', 'crushing', 'deflection', 'kingsideAttack', 'middlegame', 'Bishop', 'Queen']",7
USRVn,2r1k1r1/1bqp1n1p/pbn1pQ1P/1p3p2/3N4/PB2BP2/1PP1N1P1/3R1RK1 w - - 2 22,d4e6 b6e3 g1h1 d7e6 f6e6 c7e7,1902,75,92,1807,crushing hangingPiece intermezzo long middlegame Bishop Pawn Queen,https://lichess.org/OyDwGjla#Some(42),,"['crushing', 'hangingPiece', 'intermezzo', 'middlegame', 'Bishop', 'Pawn', 'Queen']",7
Y8Z7w,1rr4k/6pp/3pQb2/2pn3q/8/P4N2/1P3PPP/R1B1R1K1 w - - 7 25,f3g5 c8e8 e6e8 b8e8,1901,76,95,7821,crushing middlegame short Rook,https://lichess.org/MmhuxAz6#Some(48),,"['crushing', 'middlegame', 'Rook']",3
lrcsR,2r1qrk1/p4np1/3p4/N2Pp1Pp/1PR1Pp1P/P4P1K/5Q2/5R2 w - - 1 31,f1g1 c8c4 a5c4 e8c8 h3h2 c8c4,1948,73,92,3413,clearance crushing fork long middlegame Rook Queen,https://lichess.org/Y38i92o7#Some(60),,"['clearance', 'crushing', 'fork', 'middlegame', 'Rook', 'Queen']",6
lEnWT,r5r1/6B1/2pqkP2/p2p3Q/1n6/3PR2K/2Pn4/8 b - - 0 38,e6d7 h5f7 d7c8 f7g8,1912,76,96,12803,crushing interference middlegame short Queen,https://lichess.org/6rsfNh9Y/black#Some(75),,"['crushing', 'interference', 'middlegame', 'Queen']",4
LlO3O,3k4/R2P3r/1P2npp1/7p/7P/8/6P1/6K1 b - - 0 41,e6c5 a7a8 d8d7 a8a7 d7c6 a7h7,1933,75,95,7616,crushing endgame exposedKing long skewer Rook,https://lichess.org/AtXyqGHu/black#Some(81),,"['crushing', 'endgame', 'exposedKing', 'skewer', 'Rook']",5
