PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,[],GoodRowThemesFormatted
1JvLk,6k1/3b1p2/5P2/3p2P1/3P1K2/rr2B3/2p1R3/7R b - - 1 37,b3c3 e2h2 d7h3 h2h3 c2c1q h3h8,1743,74,96,7035,endgame long mate mateIn3 Rook,https://lichess.org/rZ6ch8os/black#Some(73),,"['endgame', 'mateIn3', 'Rook']",3,"['endgame', 'mateIn3', 'Rook']"
04FLl,r2q2rk/3n1p1b/2pp1b1B/1p2p2P/4P3/2NP1Q2/BPP2PRK/R7 w - - 1 23,a2f7 g8g2 h2g2 a8a1,1844,76,93,2554,advantage middlegame short Rook,https://lichess.org/VN3u8sTF#Some(44),,"['advantage', 'middlegame', 'Rook']",3,"['advantage', 'middlegame', 'Rook']"
00Nf5,r1bq1rk1/pp2bppp/2pp1n2/8/5P2/5N2/PBPPB1PP/RN1Q1RK1 w - - 5 11,b1c3 d8b6 g1h1 b6b2 a1b1 b2a3,1638,74,94,7742,advantage fork long opening Queen,https://lichess.org/JkE5qS7u#Some(20),Polish_Opening Polish_Opening_Other_variations,"['advantage', 'fork', 'opening', 'Queen']",4,"['advantage', 'fork', 'opening', 'Queen']"
00D7x,rnq2r2/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 b - - 2 18,f8g8 g5h4 g7h6 h4f6,1585,75,95,17824,crushing deflection middlegame short Queen,https://lichess.org/RKX1Co2s/black#Some(35),Benoni_Defense Benoni_Defense_Old_Benoni,"['crushing', 'deflection', 'middlegame', 'Queen']",4,"['crushing', 'deflection', 'middlegame', 'Queen']"
N3Bf6,r3k1nr/ppp2pb1/3pb1qp/6P1/4P3/N1P2Q1P/PPB5/R1B2RK1 b kq - 2 17,e8c8 e4e5 f7f5 e5f6,1595,76,87,1110,crushing enPassant middlegame short Pawn,https://lichess.org/e2BzV0Cr/black#Some(33),Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit,"['crushing', 'enPassant', 'middlegame', 'Pawn']",4,"['crushing', 'enPassant', 'middlegame', 'Pawn']"
0zYi2,r4rk1/pp3pbp/1q2p1n1/3p1pB1/3Pn2N/2P2N1P/PP1Q1PP1/R3R1K1 w - - 10 16,d2c2 e4g5 f3g5 g6h4,2028,76,95,5578,capturingDefender crushing middlegame short Knight,https://lichess.org/QqV1YxuO#Some(30),Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,"['capturingDefender', 'crushing', 'middlegame', 'Knight']",4,"['capturingDefender', 'crushing', 'middlegame', 'Knight']"
0dwrX,r4k1r/2p2ppp/p1Nqpn2/3p4/Q2P4/P1PbP1P1/1P3PP1/RN2K1R1 w Q - 3 15,b1d2 d3b5 a4c2 b5c6,1803,76,96,9110,crushing interference middlegame short Bishop,https://lichess.org/3Vb75Yff#Some(28),Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,"['crushing', 'interference', 'middlegame', 'Bishop']",4,"['crushing', 'interference', 'middlegame', 'Bishop']"
0VfWT,1k6/pp3pp1/2pPpbp1/Q7/3P4/8/PP3Pq1/1K1R4 b - - 1 26,g2d5 a5c7 b8a8 c7c8,1583,76,84,1071,endgame mate mateIn2 queensideAttack short Queen,https://lichess.org/XbtoByB9/black#Some(51),,"['endgame', 'mateIn2', 'queensideAttack', 'Queen']",4,"['endgame', 'mateIn2', 'queensideAttack', 'Queen']"
0EtoC,8/8/5k1P/6p1/6Q1/5p1K/5P2/4q3 w - - 2 49,h6h7 e1h1 h3g3 h1g2,1640,75,95,12451,endgame mate mateIn2 queenEndgame short Queen,https://lichess.org/8wRtitFs#Some(96),,"['endgame', 'mateIn2', 'Queen']",3,"['endgame', 'mateIn2', 'Queen']"
Bo5fz,r2k4/1p1nrppp/p7/2R5/5B2/8/PP4PP/3R3K b - - 0 28,a8c8 c5c8 d8c8 d1c1,1854,75,91,1663,attraction crushing endgame short Rook,https://lichess.org/lHFy6TWG/black#Some(55),,"['attraction', 'crushing', 'endgame', 'Rook']",4,"['attraction', 'crushing', 'endgame', 'Rook']"
05Bk8,3q2rk/p7/2pP3b/5Q2/4N2P/8/PPP3P1/4R2K w - - 1 26,d6d7 d8h4 h1g1 h4e1 g1h2 e1h4,1674,74,89,1963,crushing endgame fork long Queen,https://lichess.org/nZyUMQiO#Some(50),,"['crushing', 'endgame', 'fork', 'Queen']",4,"['crushing', 'endgame', 'fork', 'Queen']"
02qyi,8/pp5p/2p2N2/P5p1/5k2/7P/7r/3RK3 w - - 1 39,f6h7 f4e3 d1d3 e3d3,1798,75,96,7816,crushing endgame short King,https://lichess.org/ax8aAohC#Some(76),,"['crushing', 'endgame', 'King']",3,"['crushing', 'endgame', 'King']"
1DWvj,8/4k3/1p4K1/p1pp4/6P1/2P5/PP6/8 w - - 0 44,g6h7 d5d4 g4g5 d4d3 g5g6 d3d2,1835,75,94,2209,advancedPawn crushing endgame long pawnEndgame Pawn,https://lichess.org/uCCHQza7#Some(86),,"['advancedPawn', 'crushing', 'endgame', 'Pawn']",4,"['advancedPawn', 'crushing', 'endgame', 'Pawn']"
3wCqe,r6r/pp3p1p/3kbQ2/5N2/2P5/p7/5PPP/4qBK1 b - - 1 27,d6c5 f6e7 c5b6 e7d6 b6a5 d6c5 a5a4 c5b5,2256,77,93,5062,mate mateIn4 middlegame veryLong Queen,https://lichess.org/YCuIMRN8/black#Some(53),,"['mateIn4', 'middlegame', 'Queen']",3,"['mateIn4', 'middlegame', 'Queen']"
3ZhWb,7k/4N1p1/3q4/1p1P4/2p1Q1pK/P6P/8/8 w - - 0 51,h3g4 d6h2 h4g5 h2h6 g5f5 h6f6,1667,76,94,1418,endgame long mate mateIn3 Queen,https://lichess.org/RFYtG4bs#Some(100),,"['endgame', 'mateIn3', 'Queen']",3,"['endgame', 'mateIn3', 'Queen']"
