PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
uabsD,rn2k2r/pbpp1ppp/1p6/2b1q3/1PP5/P4P2/2KNP3/R1BQ1B1R b kq - 0 13,c5b4 c1b2 e5e7 a3b4,1756,74,93,2605,advantage intermezzo opening short Bishop Pawn,https://lichess.org/rc8arbii/black#Some(25),Indian_Defense Indian_Defense_Budapest_Defense,"['advantage', 'intermezzo', 'opening', 'Bishop', 'Pawn']",5
Npcd5,7r/5k2/4p2q/8/2QP4/PnP3P1/5P2/1N2R1K1 w - - 1 32,g1f1 h6h1 f1e2 h1e4 e2d1 e4b1,1694,75,94,13970,advantage endgame interference long Queen,https://lichess.org/rUgylHaI#Some(62),,"['advantage', 'endgame', 'interference', 'Queen']",4
VQ1aG,4rk2/pb1Q3p/1p3bp1/8/2P5/8/PPB2PPP/6K1 w - - 0 24,h2h3 e8e1 g1h2 f6e5 f2f4 e5f4 g2g3 e1h1,1751,74,92,1491,endgame mate mateIn4 veryLong Rook Bishop,https://lichess.org/ZjIiG7I9#Some(46),,"['endgame', 'mateIn4', 'Rook', 'Bishop']",4
JU9IV,4r3/1p1PPkp1/p6p/2r2p2/q4p2/8/PP4PP/3RR1K1 b - - 0 30,e8e7 e1e7 f7e7 d7d8q e7f7 d1d7 f7g6 d8e8 g6h7 d7g7 h7g7 e8a4,1811,74,94,12724,advancedPawn advantage attraction discoveredAttack endgame promotion queenRookEndgame veryLong Rook Pawn Queen,https://lichess.org/QIm65RmE/black#Some(59),,"['advancedPawn', 'advantage', 'attraction', 'discoveredAttack', 'endgame', 'promotion', 'Rook', 'Pawn', 'Queen']",9
GtK6M,r1b2r2/3q2k1/p2p1pp1/1ppPbBQp/2P4P/1P1P1RP1/P6K/1RB3N1 b - - 0 23,d7f5 g5h6 g7g8 f3f5,1689,77,96,15234,crushing intermezzo middlegame short Queen Rook,https://lichess.org/AsBm4iyz/black#Some(45),,"['crushing', 'intermezzo', 'middlegame', 'Queen', 'Rook']",5
uqaJX,r3k2r/1pp2ppp/p2b2b1/4q1B1/1n1NP2P/2N5/PPPQ1PP1/R3K2R w KQkq - 7 15,f2f4 e5d4 d2d4 b4c2 e1f2 c2d4,1671,73,95,12173,advantage attraction capturingDefender deflection exposedKing fork long middlegame sacrifice Queen Knight,https://lichess.org/bcP9atpf#Some(28),Englund_Gambit Englund_Gambit_Other_variations,"['advantage', 'attraction', 'capturingDefender', 'deflection', 'exposedKing', 'fork', 'middlegame', 'sacrifice', 'Queen', 'Knight']",10
svrm7,r2qkb1r/2p2ppp/p1n1pn2/1N6/2BP2b1/1Q2PN2/PP3PPP/R1B2RK1 b kq - 0 9,a6b5 c4b5 g4f3 g2f3 f6d7 b5c6,1733,75,93,1197,advantage capturingDefender long opening pin Bishop Pawn,https://lichess.org/Ahtn1biT/black#Some(17),Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,"['advantage', 'capturingDefender', 'opening', 'pin', 'Bishop', 'Pawn']",6
bW7wQ,2r4k/5p2/7p/2N3p1/2b1N1P1/5P2/p4K1P/3R4 w - - 0 40,c5a4 c4b3 d1a1 c8c2,1828,75,91,1248,clearance crushing endgame fork short Bishop Rook,https://lichess.org/4nu9knlc#Some(78),,"['clearance', 'crushing', 'endgame', 'fork', 'Bishop', 'Rook']",6
UPgdY,3r4/p2rkpb1/1pp1b1p1/7p/2B1PpP1/1P3P1P/PNP5/2KR3R w - - 5 22,c4e6 g7b2 c1b2 d7d1 h1d1 d8d1,1749,76,97,13714,crushing long middlegame queensideAttack Bishop Rook,https://lichess.org/yD4LJTRb#Some(42),,"['crushing', 'middlegame', 'queensideAttack', 'Bishop', 'Rook']",5
sEPv0,r1b2r2/p2R3p/4pkp1/1p2qp2/2B5/1PN2P2/P5PP/Q5K1 b - - 2 23,e5e3 g1h1 c8d7 c3d5,1686,76,92,1364,crushing doubleCheck middlegame sacrifice short King Knight,https://lichess.org/tp5plDWg/black#Some(45),,"['crushing', 'doubleCheck', 'middlegame', 'sacrifice', 'King', 'Knight']",6
1sAzK,4r2k/4Rqb1/p6p/1ppb1N2/6P1/1PP4P/P1Q2P2/6K1 w - - 3 31,e7f7 e8e1 g1h2 g7e5 f2f4 e5f4 f5g3 e1h1,1818,75,98,1603,endgame mate mateIn4 pin veryLong Rook Bishop,https://lichess.org/KKsnKpde#Some(60),,"['endgame', 'mateIn4', 'pin', 'Rook', 'Bishop']",5
