PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
RMZPY,r2qk2r/pppb3p/2nbpp2/1B1pNnp1/3P3B/2N1P2P/PPP2PP1/R2QK2R b KQkq - 1 10,f5h4 d1h5 h4g6 e5g6 h7g6 h5h8,1337,74,99,1706,advantage capturingDefender long opening Queen Knight,https://lichess.org/vmpyk6hM/black#Some(19),Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,"['advantage', 'capturingDefender', 'opening', 'Queen', 'Knight']",5
x0QZz,6k1/ppp2pp1/2n1b1qp/4p3/4P3/1PP1BQ2/P4PPP/3R3K w - - 1 24,a2a4 e6g4 f3g3 g4d1 g3g6 f7g6,1369,75,93,2756,crushing endgame long skewer Bishop Pawn,https://lichess.org/Sz82S2nm#Some(46),,"['crushing', 'endgame', 'skewer', 'Bishop', 'Pawn']",5
9GHxL,5r1k/3nNppp/4b3/1pP5/1P1N1q2/8/5PK1/6RR b - - 0 33,f4d4 h1h7 h8h7 g1h1 e6h3 h1h3 d4h4 h3h4,1331,82,83,1329,anastasiaMate attraction mate mateIn4 middlegame sacrifice veryLong Rook,https://lichess.org/C4kqNNHO/black#Some(65),,"['attraction', 'mateIn4', 'middlegame', 'sacrifice', 'Rook']",5
8zqhA,2k5/pp1q1ppp/1b3n2/1Np5/4P3/1P3P2/PB2Q1PP/6K1 w - - 3 22,b2e5 c5c4 g1f1 d7b5,1253,74,94,13588,advantage discoveredAttack endgame interference short Pawn Queen,https://lichess.org/LvRjdxhT#Some(42),,"['advantage', 'discoveredAttack', 'endgame', 'interference', 'Pawn', 'Queen']",6
jlLSm,r1b2r2/ppppqp1k/6pp/8/2Q5/bP6/PBPPN1PP/2KR3R w - - 4 18,c4c7 a3b2 c1b2 e7e2,1362,75,96,19306,advantage middlegame queensideAttack short Bishop Queen,https://lichess.org/yGQK0a9e#Some(34),Vienna_Game Vienna_Game_Vienna_Gambit,"['advantage', 'middlegame', 'queensideAttack', 'Bishop', 'Queen']",5
tTu1N,2k1r2r/pp6/2p5/8/2Pq1BR1/3P2K1/PP2Q3/R7 w - - 1 28,e2g2 d4d3 g2f3 h8h3 g3h3 d3f3,1324,77,93,3922,advantage attraction deflection exposedKing long middlegame Queen Rook,https://lichess.org/eQeRxbxn#Some(54),,"['advantage', 'attraction', 'deflection', 'exposedKing', 'middlegame', 'Queen', 'Rook']",7
GA3Ne,1r2qrk1/2p2ppp/Q2b1n2/1b1p4/8/2BP1NP1/P3PPBP/R4RK1 w - - 7 19,a6a5 b8a8 a5a8 e8a8,1357,76,85,1502,advantage middlegame short trappedPiece Rook Queen,https://lichess.org/AXmS7fne#Some(36),English_Opening English_Opening_Agincourt_Defense,"['advantage', 'middlegame', 'trappedPiece', 'Rook', 'Queen']",5
WEryd,3rkb1r/1p2pppp/p1n1bn2/q1P5/2pN4/P1N1P3/1P1QBPPP/R1B1K2R w KQk - 2 12,d4e6 d8d2 c1d2 f7e6,1340,74,84,1607,advantage intermezzo opening short Rook Pawn,https://lichess.org/QEXWIMyC#Some(22),Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,"['advantage', 'intermezzo', 'opening', 'Rook', 'Pawn']",5
OZfgh,r1b1k2r/ppQ1bppp/1q6/3P4/2B1PB2/8/PP3nPP/RN3R1K w kq - 1 16,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1342,79,87,2621,doubleCheck kingsideAttack long mate mateIn3 opening sacrifice smotheredMate Knight Queen,https://lichess.org/fcTIA9uY#Some(30),Italian_Game Italian_Game_Blackburne-Kostic_Gambit,"['doubleCheck', 'kingsideAttack', 'mateIn3', 'opening', 'sacrifice', 'Knight', 'Queen']",7
6k7Kg,r2q1rk1/1Qp1b1pp/p1n1pn2/4p3/P3p3/2PP1N2/1P1N1PPP/R1B2RK1 w - - 0 12,d3e4 c6a5 b7a8 d8a8,1377,76,96,3332,advantage opening short trappedPiece Knight Queen,https://lichess.org/Hoz73cFm#Some(22),Italian_Game Italian_Game_Two_Knights_Defense,"['advantage', 'opening', 'trappedPiece', 'Knight', 'Queen']",5
ueM1A,8/5p2/4r2P/6p1/6P1/5k2/2R4K/8 w - - 5 50,c2c3 f3g4 h6h7 e6h6 h2g2 h6h7,1272,75,95,4963,crushing endgame exposedKing long rookEndgame King Rook,https://lichess.org/4xEheamc#Some(98),,"['crushing', 'endgame', 'exposedKing', 'King', 'Rook']",5
